#ProfileFileVersion=3.1
#ProfilerVersion=3.1.10103
#API=OpenCL
#Application=C:/Users/1/Documents/Visual Studio 2017/Projects/GSoCOpenCL/OpenCLFilters/x64/Release/OpenCLFilters.exe
#ApplicationArgs=
#WorkingDirectory=C:/Users/1/Documents/Visual Studio 2017/Projects/GSoCOpenCL/OpenCLFilters/OpenCLFilters
#Device Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz Platform Vendor=Advanced Micro Devices, Inc.
#Device Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz Platform Name=AMD Accelerated Parallel Processing
#Device Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz Platform Version=OpenCL 2.1 AMD-APP (2527.8)
#Device Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz CLDriver Version=2527.8 (sse2,avx)
#Device Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz CLRuntime Version=OpenCL 1.2 AMD-APP (2527.8)
#Device Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz NumberAppAddressBits=64
#Device Oland Platform Vendor=Advanced Micro Devices, Inc.
#Device Oland Platform Name=AMD Accelerated Parallel Processing
#Device Oland Platform Version=OpenCL 2.1 AMD-APP (2527.8)
#Device Oland CLDriver Version=2527.8
#Device Oland CLRuntime Version=OpenCL 1.2 AMD-APP (2527.8)
#Device Oland NumberAppAddressBits=32
#OS Version=Windows 8 Build 6.2.9200
#DisplayName=Feb-24-2018_16-54-17
#ListSeparator=;
#ForceSinglePass=False









| Description | Value |
| --- | --- |
| Method           | convolution_local__k1_Oland1 |
| ExecutionOrder   | 1                            |
| ThreadID         | 12652                        |
| CallIndex        | 21                           |
| GlobalWorkSize   | { 1280 720 1}                | 
| WorkGroupSize    | { 8 8 1}                     |   
| Time             | 17.10637                     | 
| LocalMemSize     | 9216                         | 
| VGPRs            | 42                           | 
| SGPRs            | 26                           | 
| ScratchRegs      | 0                            | 
| FCStacks         | NA                           |   
| Wavefronts       | 14400.00                     |  
| VALUInsts        | 363.00                       |     
| SALUInsts        | 243.00                       |    
| VFetchInsts      | 9.00                         |   
| SFetchInsts      | 57.00                        |   
| VWriteInsts      | 1.00                         |  
| LDSInsts         | 107.00                       |    
| GDSInsts         | 0.00                         |  
| VALUUtilization  | 100.00                       |  
| VALUBusy         | 17.26                        | 
| SALUBusy         | 11.46                        | 
| FetchSize        | 4065.44                      | 
| WriteSize        | 3600.00                      |  
| CacheHit         | 73.88                        | 
| MemUnitBusy      | 11.51                        |  
| MemUnitStalled   | 0.21                         |  
| WriteUnitStalled | 0.00                         |  
| LDSBankConflict  | 16.41                        | 
                                                
